symbol,name,sector,experiment_mode,arch_model,params,samples_total,train_samples,test_samples,overall_MSE,overall_RMSE,overall_MAE,overall_R2,h1_MSE,h1_RMSE,h1_MAE,h1_R2,h2_MSE,h2_RMSE,h2_MAE,h2_R2,h3_MSE,h3_RMSE,h3_MAE,h3_R2,best_config
600519,贵州茅台,白酒消费,direct_multi,BaseLSTM,23235,2194,1755,439,1685.7152099609375,41.05746078491211,27.580904006958008,0.8941203355789185,996.4256591796875,31.56620979309082,21.52627182006836,0.937732994556427,1728.40771484375,41.57412338256836,28.461551666259766,0.8914415836334229,2332.312255859375,48.29401779174805,32.7548942565918,0.8527318835258484,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.15, ""learning_rate"": 0.001, ""batch_size"": 32, ""max_epochs"": 70, ""patience"": 10, ""weight_decay"": 0.0001}"
600519,贵州茅台,白酒消费,direct_multi,FeatureAttention_LSTM,79847,2194,1755,439,1472.735595703125,38.37623596191406,25.832027435302734,0.9074975252151489,739.3955078125,27.19182777404785,18.490625381469727,0.9537949562072754,1458.5072021484375,38.190406799316406,26.871734619140625,0.9083935618400574,2220.3037109375,47.12009811401367,32.133724212646484,0.8598043918609619,"{""hidden_dim"": 128, ""num_layers"": 1, ""dropout"": 0.25, ""learning_rate"": 0.0003, ""batch_size"": 32, ""max_epochs"": 100, ""patience"": 12, ""weight_decay"": 0.0001}"
600519,贵州茅台,白酒消费,direct_multi,FeatureAttention_Graph_LSTM,47752,2194,1755,439,1484.735595703125,38.53226852416992,26.24554443359375,0.9067438244819641,718.31201171875,26.80134391784668,19.033700942993164,0.9551124572753906,1477.7818603515625,38.44192886352539,26.786745071411133,0.9071829319000244,2258.112548828125,47.51959991455078,32.916194915771484,0.8574170470237732,"{""hidden_dim"": 96, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0005, ""batch_size"": 32, ""max_epochs"": 90, ""patience"": 12, ""weight_decay"": 0.0001}"
