symbol,name,sector,experiment_mode,arch_model,params,samples_total,train_samples,test_samples,overall_MSE,overall_RMSE,overall_MAE,overall_R2,h1_MSE,h1_RMSE,h1_MAE,h1_R2,h2_MSE,h2_RMSE,h2_MAE,h2_R2,h3_MSE,h3_RMSE,h3_MAE,h3_R2,best_config
600036,招商银行,银行,direct_multi,BaseLSTM,47139,2194,1755,439,0.6706761717796326,0.8189482092857361,0.6322224736213684,0.9746924638748169,0.41565531492233276,0.6447133421897888,0.4918954372406006,0.9841887950897217,0.6587679982185364,0.8116452693939209,0.6500563621520996,0.9751304388046265,0.9376053810119629,0.9683002829551697,0.7547155618667603,0.9649144411087036,"{""hidden_dim"": 96, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0005, ""batch_size"": 32, ""max_epochs"": 90, ""patience"": 12, ""weight_decay"": 0.0001}"
600036,招商银行,银行,direct_multi,FeatureAttention_LSTM,23847,2194,1755,439,0.719818651676178,0.8484212756156921,0.6266891360282898,0.9728381037712097,0.43699121475219727,0.6610531210899353,0.49463072419166565,0.98337721824646,0.717074990272522,0.846802830696106,0.6260166764259338,0.9729292392730713,1.0053895711898804,1.0026911497116089,0.7594199776649475,0.9623779058456421,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0008, ""batch_size"": 32, ""max_epochs"": 80, ""patience"": 10, ""weight_decay"": 0.0001}"
600036,招商银行,银行,direct_multi,FeatureAttention_Graph_LSTM,23848,2194,1755,439,0.7369902729988098,0.8584813475608826,0.6260499954223633,0.9721901416778564,0.48733118176460266,0.6980910897254944,0.5062398314476013,0.981462299823761,0.6715500950813293,0.819481611251831,0.6214086413383484,0.9746478796005249,1.0520895719528198,1.0257141590118408,0.7505016326904297,0.9606303572654724,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.15, ""learning_rate"": 0.001, ""batch_size"": 32, ""max_epochs"": 70, ""patience"": 10, ""weight_decay"": 0.0001}"
000001,平安银行,银行,direct_multi,BaseLSTM,79235,2194,1755,439,0.07093541324138641,0.2663370370864868,0.19047769904136658,0.8903144001960754,0.04358425363898277,0.20876842737197876,0.15209996700286865,0.9322066903114319,0.06638940423727036,0.2576614022254944,0.18861733376979828,0.8972863554954529,0.10283259302377701,0.32067522406578064,0.23071585595607758,0.8420109748840332,"{""hidden_dim"": 128, ""num_layers"": 1, ""dropout"": 0.25, ""learning_rate"": 0.0003, ""batch_size"": 32, ""max_epochs"": 100, ""patience"": 12, ""weight_decay"": 0.0001}"
000001,平安银行,银行,direct_multi,FeatureAttention_LSTM,23847,2194,1755,439,0.07334361970424652,0.2708202600479126,0.19427990913391113,0.8865906596183777,0.04700222238898277,0.21679995954036713,0.16127362847328186,0.9268901944160461,0.07427408546209335,0.27253273129463196,0.19312725961208344,0.8850876688957214,0.09875456243753433,0.3142523765563965,0.22843880951404572,0.8482763767242432,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0008, ""batch_size"": 32, ""max_epochs"": 80, ""patience"": 10, ""weight_decay"": 0.0001}"
000001,平安银行,银行,direct_multi,FeatureAttention_Graph_LSTM,23848,2194,1755,439,0.0880257785320282,0.2966913878917694,0.22057507932186127,0.8638880252838135,0.04572456330060959,0.2138330340385437,0.15618225932121277,0.9288775324821472,0.09342460334300995,0.305654376745224,0.2342505306005478,0.8554590940475464,0.12492814660072327,0.35345175862312317,0.27129247784614563,0.8080639839172363,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0008, ""batch_size"": 32, ""max_epochs"": 80, ""patience"": 10, ""weight_decay"": 0.0001}"
600030,中信证券,券商,direct_multi,BaseLSTM,79235,2177,1741,436,0.6620937585830688,0.8136914372444153,0.477173775434494,0.9625262022018433,0.3658302426338196,0.604839026927948,0.3599351644515991,0.9792466759681702,0.6362507939338684,0.797653317451477,0.4900708794593811,0.963992714881897,0.9842002987861633,0.9920687079429626,0.5815152525901794,0.9444162845611572,"{""hidden_dim"": 128, ""num_layers"": 1, ""dropout"": 0.25, ""learning_rate"": 0.0003, ""batch_size"": 32, ""max_epochs"": 100, ""patience"": 12, ""weight_decay"": 0.0001}"
600030,中信证券,券商,direct_multi,FeatureAttention_LSTM,79847,2177,1741,436,0.6286078095436096,0.7928479313850403,0.4585624933242798,0.9644215106964111,0.27869853377342224,0.5279190540313721,0.33540770411491394,0.9841896295547485,0.6321969628334045,0.7951081395149231,0.47459807991981506,0.9642221331596375,0.9749279618263245,0.9873843789100647,0.5656817555427551,0.9449399709701538,"{""hidden_dim"": 128, ""num_layers"": 1, ""dropout"": 0.25, ""learning_rate"": 0.0003, ""batch_size"": 32, ""max_epochs"": 100, ""patience"": 12, ""weight_decay"": 0.0001}"
600030,中信证券,券商,direct_multi,FeatureAttention_Graph_LSTM,47752,2177,1741,436,0.625994086265564,0.7911978960037231,0.46320563554763794,0.9645693898200989,0.29401758313179016,0.5422338843345642,0.34147581458091736,0.9833205938339233,0.6266931891441345,0.7916395664215088,0.48281756043434143,0.9645336270332336,0.9572715163230896,0.9784025549888611,0.565323531627655,0.9459370970726013,"{""hidden_dim"": 96, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0005, ""batch_size"": 32, ""max_epochs"": 90, ""patience"": 12, ""weight_decay"": 0.0001}"
601318,中国平安,保险,direct_multi,BaseLSTM,47139,2194,1755,439,1.5976418256759644,1.2639786005020142,0.8265442252159119,0.9543187618255615,0.9180372357368469,0.9581425786018372,0.6394909024238586,0.9736334681510925,1.5579257011413574,1.2481689453125,0.828482985496521,0.9554569721221924,2.316962718963623,1.5221573114395142,1.0116585493087769,0.9340399503707886,"{""hidden_dim"": 96, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0005, ""batch_size"": 32, ""max_epochs"": 90, ""patience"": 12, ""weight_decay"": 0.0001}"
