symbol,name,sector
600036,招商银行,银行
000001,平安银行,银行
600519,贵州茅台,白酒消费
000858,五粮液,白酒消费
002594,比亚迪,新能源汽车
300750,宁德时代,动力电池
601633,长城汽车,汽车
600276,恒瑞医药,医药
002415,海康威视,电子
601899,紫金矿业,有色金属
