arch_model,stocks,mean_overall_R2,std_overall_R2,mean_overall_MAE,std_overall_MAE,mean_h1_R2,mean_h2_R2,mean_h3_R2,mean_params,delta_vs_featattn_r2,delta_vs_featattn_mae
FeatureAttention_Graph_LSTM,10,0.7005450904369355,0.6192167559723084,5.293620643019676,8.07225476474907,0.7538272440433502,0.698418253660202,0.649598217010498,38190.4,0.02048773169517526,-0.08230755925178546
FeatureAttention_LSTM,10,0.6800573587417602,0.6850056292393869,5.375928202271462,7.795339104680349,0.7383745312690735,0.6810255467891693,0.6210350036621094,40579.8,0.0,0.0
BaseLSTM,10,0.6000325322151184,0.8546153361661727,6.001081375777721,8.884130263234109,0.6256617128849029,0.5985195398330688,0.5760113418102264,39967.8,-0.08002482652664178,0.6251531735062592
FeatureAttention_Transformer_LSTM,10,0.2561835289001465,1.3118592255953119,9.609791377186776,12.881020017144941,0.3808931529521942,0.1678370416164398,0.21999082565307618,122727.0,-0.4238738298416137,4.233863174915314
FeatureAttention_TCN_LSTM,10,0.0176389217376709,1.0333575731803575,13.58380755484104,18.477408398274797,-0.16777429580688477,0.18271302580833435,0.03686187267303467,87178.2,-0.6624184370040893,8.207879352569579
