arch_model,stocks,mean_overall_R2,std_overall_R2,mean_overall_MAE,std_overall_MAE,mean_h1_R2,mean_h2_R2,mean_h3_R2,mean_params,delta_vs_base_r2,delta_vs_featattn_r2
FeatureAttention_Graph_LSTM,25,0.8052009701728821,0.4165982145548899,2.735972635447979,5.484343168152035,0.8488446187973022,0.8052617478370666,0.7615529751777649,49988.16,0.0621764016151428,0.0080726933479309
FeatureAttention_LSTM,25,0.7971282768249511,0.3687109669534377,2.7751934760808945,5.387658521563564,0.8378192567825318,0.7929786896705627,0.7606175208091736,59048.28,0.0541037082672118,0.0
BaseLSTM,25,0.7430245685577392,0.5191133750826646,3.0891889306902884,5.850908972455818,0.8102298593521118,0.7483355331420899,0.6706501913070678,58726.84,0.0,-0.0541037082672118
