symbol,name,sector,experiment_mode,arch_model,params,samples_total,train_samples,test_samples,overall_MSE,overall_RMSE,overall_MAE,overall_R2,h1_MSE,h1_RMSE,h1_MAE,h1_R2,h2_MSE,h2_RMSE,h2_MAE,h2_R2,h3_MSE,h3_RMSE,h3_MAE,h3_R2,best_config
000625,长安汽车,汽车,direct_multi,BaseLSTM,23235,2174,1739,435,0.4719688296318054,0.6869998574256897,0.485686719417572,0.8545985221862793,0.22519509494304657,0.47454726696014404,0.35035791993141174,0.9305797219276428,0.38675981760025024,0.6219001412391663,0.4525286853313446,0.8808693289756775,0.8039515018463135,0.8966334462165833,0.6541736721992493,0.752436101436615,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.15, ""learning_rate"": 0.001, ""batch_size"": 32, ""max_epochs"": 70, ""patience"": 10, ""weight_decay"": 0.0001}"
000625,长安汽车,汽车,direct_multi,FeatureAttention_LSTM,23847,2174,1739,435,0.6353698372840881,0.7971009016036987,0.5842119455337524,0.8042588233947754,0.4866461753845215,0.6976003050804138,0.5088809728622437,0.8499829173088074,0.652643084526062,0.8078632950782776,0.5991500616073608,0.7989712953567505,0.7668203115463257,0.8756827712059021,0.6446048021316528,0.7638700604438782,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.2, ""learning_rate"": 0.0008, ""batch_size"": 32, ""max_epochs"": 80, ""patience"": 10, ""weight_decay"": 0.0001}"
000625,长安汽车,汽车,direct_multi,FeatureAttention_Graph_LSTM,23848,2174,1739,435,0.7625059485435486,0.8732158541679382,0.6277012825012207,0.7650914192199707,0.748315155506134,0.8650521039962769,0.6371908783912659,0.7693189382553101,0.7694551348686218,0.8771859407424927,0.6138354539871216,0.7629905939102173,0.7697476148605347,0.8773525953292847,0.6320774555206299,0.7629686594009399,"{""hidden_dim"": 64, ""num_layers"": 1, ""dropout"": 0.15, ""learning_rate"": 0.001, ""batch_size"": 32, ""max_epochs"": 70, ""patience"": 10, ""weight_decay"": 0.0001}"
